Vnum	Name	Type	SubType	Size	AntiFlags	Flags	WearFlags	ImmuneFlags	Gold	ShopBuyPrice	RefinedVnum	RefineSet	AlterToMagicItemPercent	LimitType0	LimitValue0	LimitType1	LimitValue1	ApplyType0	ApplyValue0	ApplyType1	ApplyValue1	ApplyType2	ApplyValue2	ApplyType3	ApplyValue3	Value0	Value1	Value2	Value3	Value4	Value5	Specular	GainSocketPercent	AddonType
37	37	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	2000	38	8	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	49	65	1	0
38	38	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	3000	39	9	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	56	80	1	0
39	39	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	4500	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	63	100	1	0
40	40	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	800	41	1	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	0	0	1	0
41	41	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	42	2	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	7	0	1	0
42	42	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	43	3	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	14	0	1	0
43	43	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	44	4	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	21	0	1	0
44	44	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	45	5	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	28	30	1	0
45	45	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	46	6	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	35	40	1	0
46	46	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	2000	47	7	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	42	50	1	0
47	47	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	3000	48	8	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	49	65	1	0
48	48	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	4000	49	9	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	56	80	1	0
49	49	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	6000	0	0	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	63	100	1	0
50	50	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3000	51	1	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	0	0	1	0
51	51	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	52	2	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	7	0	1	0
52	52	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	53	3	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	14	0	1	0
53	53	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	4000	54	4	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	21	0	1	0
54	54	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	5000	55	5	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	28	30	1	0
55	55	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	6500	56	6	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	35	40	1	0
56	56	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	8000	57	7	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	42	50	1	0
57	57	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	11000	58	8	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	49	65	1	0
58	58	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	15500	59	9	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	56	80	1	0
59	59	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	23000	0	0	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	63	100	1	0
60	60	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5000	61	10	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	0	0	2	0
61	61	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5500	62	11	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	6	0	2	0
62	62	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	6000	63	12	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	12	0	2	0
63	63	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	7000	64	13	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	18	0	2	0
64	64	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	8500	65	14	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	24	30	2	0
65	65	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	10500	66	15	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	32	40	2	0
66	66	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	13500	67	16	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	41	50	2	0
67	67	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	18500	68	17	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	51	65	2	0
68	68	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	25500	69	18	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	62	80	2	0
69	69	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	38500	0	0	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	74	100	2	0
70	70	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	8000	71	10	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	0	0	2	0
71	71	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9000	72	11	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	6	0	2	0
72	72	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9500	73	12	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	12	0	2	0
73	73	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	11000	74	13	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	18	0	2	0
74	74	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	13500	75	14	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	24	30	2	0
75	75	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	16500	76	15	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	32	40	2	0
76	76	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	21500	77	16	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	41	50	2	0
77	77	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	29500	78	17	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	51	65	2	0
78	78	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	41000	79	18	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	62	80	2	0
79	79	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	61500	0	0	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	74	100	2	0
80	80	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	15000	81	10	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	0	0	2	0
81	81	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	16500	82	11	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	6	0	2	0
82	82	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	18000	83	12	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	12	0	2	0
83	83	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	21000	84	13	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	18	0	2	0
84	84	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	25000	85	14	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	24	30	2	0
